code,name
ACCT 3331,Intermediate Financial Accounting I
ACCT 3322,Integrated Accounting Information Systems
ACCT 3200,Introduction to Business and Professional Development
ACCT 3101,Professional Program in Accounting Lyceum
ACCT 3100,Professional Development
ACCT 2302,Introductory Management Accounting
ACCT 3350,Fundamentals of Taxation
FIN 3330,Personal Financial Planning
FIN 3365,Real Estate Finance and Principles
FIN 3360,Entrepreneurial Finance
FIN 3350,Financial Markets and Institutions
FIN 3340,Regulation of Business and Financial Markets
FIN 3320,Business Finance
FIN 4V90,Individual Study in Finance
FIN 3300,Personal Finance
FIN 3200,Introduction to Business and Professional Development
FIN 3100,Professional Development
FIN 4V99,Special Topics in Finance
FIN 3370,Principles of Risk Management and Insurance
FIN 3305,Real Estate Principles
FIN 3375,"Life, Accident and Health Insurance"
FIN 4331,Business Liability Risk Management and Insurance
FIN 3390,Introduction to Financial Modeling
FIN 4321,Real Estate Law and Contracts
FIN 3380,International Financial Management
FIN 4328,Real Estate Valuation
FIN 4330,Estate Planning
FIN 4332,Commercial Property Risk Management and Insurance
FIN 4333,Enterprise Risk Management
FIN 4334,Insurance Law and Contracts
FIN 4335,Financial Aspects of Retirement and Employee Benefits
FIN 4337,Business Valuation
FIN 4338,Financial Decision Making Processes for Risk Management
FIN 4340,Options and Futures Markets
FIN 4345,Financial Information and Analysis
FIN 4350,Cases in Personal Financial Planning
FIN 4380,Domestic Fund Management
FIN 4386,Beginning Mathematical Finance
FIN 4336,Risk Control and Safety Engineering
FIN 4390,Seminar Series in Finance
FIN 4080,Practicum in Finance
FIN 4387,Computational Methods in Finance
FIN 3395,Financial Modeling and Valuation
FIN 4300,Investment Management
FIN 4303,Investment Strategies
FIN 4307,Private Equity
FIN 4310,Intermediate Financial Management
FIN 4305,Fixed Income Securities Analysis
FIN 4315,Behavioral Economics and Finance
FIN 4320,Management of Financial Institutions
FIN 4V80,Practicum in Finance
FIN 4399,Senior Honors in Finance
FIN 4395,Capstone Senior Project - Finance
FIN 4313,Energy Finance
PSY 4365,Psychology of Music
PSY 4352,Emerging Adulthood Development
PSY 4364,Attention and Memory
PSY 4362,Perception
PSY 4359,Cognitive Neuroscience
PSY 4347,Marriage and Family Psychology
PSY 4332,Psychology in the Workplace
PSY 4345,Violence in the Family
PSY 4344,Child Psychopathology
PSY 4343,Abnormal Psychology
PSY 4333,Human Relations
PSY 4331,Personality
PSY 4328,Health Psychology
PSY 4370,Industrial and Organizational Psychology
PSY 4346,Human Sexuality
PSY 4372,Forensic Psychology
PSY 4V91,Green Fellowship Directed Research
PSY 4374,Judgment and Decision Making
PSY 4V99,Individual Study
PSY 4V98,Directed Research
PSY 4V96,Teaching Internship
PSY 4V90,Special Topics in Psychology
PSY 4V75,Honors Seminar
PSY 4397,Thesis Research
PSY 4395,Co-op Fieldwork
PSY 4373,Psychological Assessment
PSY 4394,Internship in Psychology
PSY 4391,Individual Study and Writing
PSY 4390,Directed Research and Writing
PSY 4389,Developmental Cognitive Neuroscience
PSY 4386,Adult Development and Aging
PSY 4385,Neuropsychology
PSY 4378,Advanced Conflict Resolution: Family Mediation
PSY 4377,Conflict Resolution
PSY 4393,Language in Culture and Society
PSY 4325,Death and Dying
PSY 4327,Stress Management
PSY 4323,Cultural Diversity and Psychology
PSY 3338,Adolescence
PSY 3336,Infancy
PSY 3333,Approaches to Clinical Psychology
PSY 3332,Social and Personality Development
PSY 3331,Social Psychology
PSY 3324,Psychology of Gender
PSY 3339,Educational Psychology
PSY 3322,Psychology of Adjustment
PSY 3100,Careers in Psychology
PSY 2364,Animal Communication
PSY 2317,Statistics for Psychology
PSY 2314,Lifespan Development
PSY 2301,Introduction to Psychology
PSY 4324,The Psychology of Prejudice
PSY 3310,Child Development
PSY 3342,Exceptional Children
PSY 3356,The Creative Process
PSY 3351,Mass Communication and Behavior
PSY 3350,Psychology of Communication
PSY 4320,Psychology of Reasoning
PSY 4193,Internship Preparation
PSY 4099,Individual Study
PSY 3490,Accelerated Quantitative Methods
PSY 3393,Experimental Projects in Psychology
PSY 3392,Research Design and Analysis
PSY 4098,Directed Research
PSY 3366,Motivation and Achievement
PSY 3363,Evolution of Behavior
PSY 3362,Cognitive Development
PSY 3361,Cognitive Psychology
PSY 3360,Historical Perspectives on Psychology: Mind and Machines since 1600
PSY 3355,Psychology of Creativity
PSY 3370,Positive Psychology
CHEM 3471,Advanced Chemical Synthesis Laboratory
CHEM 3321,Physical Chemistry I
CHEM 3322,Physical Chemistry II
CHEM 3341,Inorganic Chemistry I
CHEM 3361,Biochemistry I
CHEM 3362,Biochemistry II
CHEM 3472,Instrumental Analysis
CHEM 4473,Physical Measurements Laboratory
CHEM 4335,Polymer Chemistry
CHEM 4355,Computational Modeling
CHEM 4381,Green Chemistry and Green Fuels
CHEM 4390,Research and Advanced Writing in Chemistry
CHEM 4399,Research and Advanced Writing in Chemistry for Honors Students
CHEM 2V01,Topics in Chemistry
CHEM 4V01,Topics in Chemistry
CHEM 4V91,Research in Chemistry
CHEM 3V92,Undergraduate Research in Biochemistry
CHEM 2401,Introductory Quantitative Methods in Chemistry
CHEM 1312,General Chemistry II
CHEM 1111,General Chemistry Laboratory I
CHEM 2323,Introductory Organic Chemistry I
CHEM 2324,Introductory Organic Chemistry for Engineers
CHEM 2325,Introductory Organic Chemistry II
CHEM 2328,Honors Organic Chemistry II
CHEM 2130,Introductory Organic Chemistry for Medical Science Laboratory
CHEM 2128,Honors Organic Chemistry Laboratory II
CHEM 2127,Honors Organic Chemistry Laboratory I
CHEM 2330,Introductory Organic Chemistry for Medical Science
CHEM 2125,Introductory Organic Chemistry Laboratory II
CHEM 1316,Honors Freshman Chemistry II
CHEM 1315,Honors Freshman Chemistry I
CHEM 1311,General Chemistry I
CHEM 1301,General Chemistry for Engineers
CHEM 1116,Honors Freshman Chemistry Laboratory II
CHEM 1115,Honors Freshman Chemistry Laboratory I
CHEM 1112,General Chemistry Laboratory II
CHEM 2123,Introductory Organic Chemistry Laboratory I
CHEM 2327,Honors Organic Chemistry I
ACTS 4301,Long Term Actuarial Mathematics I
ACTS 4302,Investment and Financial Markets I
ACTS 4303,Long Term Actuarial Mathematics II
ACTS 4304,Short Term Actuarial Mathematics I
ACTS 4305,Short Term Actuarial Mathematics II
ACTS 4306,Actuarial Probability as Problem Solving
ACTS 4307,Statistics for Risk Modeling
ACTS 4308,Actuarial Financial Mathematics
ACTS 4309,Investment and Financial Markets II
AHST 1303,Survey of Western Art History: Ancient to Medieval
AHST 1304,Survey of Western Art History: Renaissance to Modern
AHST 2331,Understanding Art
